work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,company_location,company_size,job_type
2020,Mid,FT,Data Scientist,70000,EUR,79833,DE,DE,Large,onsite
2020,Senior,FT,Machine Learning Scientist,260000,USD,260000,JP,JP,Small,onsite
2020,Senior,FT,Big Data Engineer,85000,GBP,109024,GB,GB,Medium,hybrid
2020,Mid,FT,Product Data Analyst,20000,USD,20000,HN,HN,Small,onsite
2020,Senior,FT,Machine Learning Engineer,150000,USD,150000,US,US,Large,hybrid
2020,Entry,FT,Data Analyst,72000,USD,72000,US,US,Large,remote
2020,Senior,FT,Lead Data Scientist,190000,USD,190000,US,US,Small,remote
2020,Mid,FT,Data Scientist,11000000,HUF,35735,HU,HU,Large,hybrid
2020,Mid,FT,Business Data Analyst,135000,USD,135000,US,US,Large,remote
2020,Senior,FT,Lead Data Engineer,125000,USD,125000,NZ,NZ,Small,hybrid
2020,Entry,FT,Data Scientist,45000,EUR,51321,FR,FR,Small,onsite
2020,Mid,FT,Data Scientist,3000000,INR,40481,IN,IN,Large,onsite
2020,Entry,FT,Data Scientist,35000,EUR,39916,FR,FR,Medium,onsite
2020,Mid,FT,Lead Data Analyst,87000,USD,87000,US,US,Large,remote
2020,Mid,FT,Data Analyst,85000,USD,85000,US,US,Large,remote
2020,Mid,FT,Data Analyst,8000,USD,8000,PK,PK,Large,hybrid
2020,Entry,FT,Data Engineer,4450000,JPY,41689,JP,JP,Small,remote
2020,Senior,FT,Big Data Engineer,100000,EUR,114047,PL,GB,Small,remote
2020,Entry,FT,Data Science Consultant,423000,INR,5707,IN,IN,Medium,hybrid
2020,Mid,FT,Lead Data Engineer,56000,USD,56000,PT,US,Medium,remote
2020,Mid,FT,Machine Learning Engineer,299000,CNY,43331,CN,CN,Medium,onsite
2020,Mid,FT,Product Data Analyst,450000,INR,6072,IN,IN,Large,remote
2020,Senior,FT,Data Engineer,42000,EUR,47899,GR,GR,Large,hybrid
2020,Mid,FT,BI Data Analyst,98000,USD,98000,US,US,Medium,onsite
2020,Mid,FT,Lead Data Scientist,115000,USD,115000,AE,AE,Large,onsite
2020,Executive,FT,Director of Data Science,325000,USD,325000,US,US,Large,remote
2020,Entry,FT,Research Scientist,42000,USD,42000,NL,NL,Large,hybrid
2020,Senior,FT,Data Engineer,720000,MXN,33511,MX,MX,Small,onsite
